scope,url,media_name,media_type,media_focus,language,domain,state_abbr
National,https://www.cnbc.com/,CNBC,BC,BU,ENG,cnbc.com,na
National,https://www.foxbusiness.com/,Fox Business,BC,BU,ENG,foxbusiness.com,na
National,https://www.eonline.com/,E,BC,EN,ENG,eonline.com,na
National,https://abcnews.go.com/,ABC,BC,GI,ENG,abcnews.go.com,na
National,http://www.americasradionewsnetwork.com/,America's Radio News Network,BC,GI,ENG,americasradionewsnetwork.com,na
National,https://www.c-span.org/,C Span,BC,GI,ENG,c-span.org,na
National,https://www.cbsnews.com/,CBS,BC,GI,ENG,cbsnews.com,na
National,https://us.cnn.com/,CNN,BC,GI,ENG,us.cnn.com,na
National,https://www.foxnews.com/,Fox News,BC,GI,ENG,foxnews.com,na
National,https://www.msnbc.com/,MSNBC,BC,GI,ENG,msnbc.com,na
National,https://www.npr.org/,NPR,BC,GI,ENG,npr.org,na
National,https://www.oann.com/,One America News Network,BC,GI,ENG,oann.com,na
National,https://www.pbs.org/newshour/,PBS News Hour,BC,GI,ENG,pbs.org,na
National,http://www.reuters.tv/?edition=US,Reuters,BC,GI,ENG,reuters.tv,na
National,https://www.univision.com/,Univision,BC,GI,SPA,univision.com,na
National,http://dsc.discovery.com/,Discovery,BC,ST,ENG,dsc.discovery.com,na
National,http://www.cbssports.com/,CBS Sports,BC,SP,ENG,cbssports.com,na
National,http://www.espn.com/,ESPN,BC,SP,ENG,espn.com,na
National,http://msn.foxsports.com/,Fox Sports,BC,SP,ENG,msn.foxsports.com,na
National,https://www.nbcsports.com/,NBC Sports,BC,SP,ENG,nbcsports.com,na
National,https://www.agweb.com/,Ag Web,IN,AG,ENG,agweb.com,na
National,http://www.benzinga.com/,Benzinga,IN,BU,ENG,benzinga.com,na
National,http://www.bizjournals.com/,Biz Journals,IN,BU,ENG,bizjournals.com,na
National,http://www.bloomberg.com/,Bloomberg,IN,BU,ENG,bloomberg.com,na
National,http://www.businessinsider.com/,Business Insider,IN,BU,ENG,businessinsider.com,na
National,http://www.ibtimes.com/,International Business Times,IN,BU,ENG,ibtimes.com,na
National,http://wire.kapitall.com/,Kapitall,IN,BU,ENG,wire.kapitall.com,na
National,http://www.marketwatch.com/,Market Watch,IN,BU,ENG,marketwatch.com,na
National,http://qz.com/,Quartz,IN,BU,ENG,qz.com,na
National,http://www.rttnews.com/,RTT News,IN,BU,ENG,rttnews.com,na
National,http://www.thestreet.com/,Street,IN,BU,ENG,thestreet.com,na
National,http://www.businessreviewusa.com/,USA Business Review,IN,BU,ENG,businessreviewusa.com,na
National,https://finance.yahoo.com/,Yahoo Finance,IN,BU,ENG,finance.yahoo.com,na
National,http://www.zerohedge.com/,Zero Hedge,IN,BU,ENG,zerohedge.com,na
National,http://www.accesshollywood.com/,Access Hollywood,IN,EN,ENG,accesshollywood.com,na
National,http://elitedaily.com/,Elite Daily,IN,EN,ENG,elitedaily.com,na
National,http://www.eurweb.com/,Eur Web,IN,EN,ENG,eurweb.com,na
National,https://www.heraldweekly.com/,Herald Weekly,IN,EN,ENG,heraldweekly.com,na
National,http://jezebel.com/,Jezebel,IN,EN,ENG,jezebel.com,na
National,http://www.radaronline.com/,Radar Online,IN,EN,ENG,radaronline.com,na
National,https://thesource.com/,The Source,IN,EN,ENG,thesource.com,na
National,http://www.tmz.com/,TMZ,IN,EN,ENG,tmz.com,na
National,http://www.2upbeatmag.com/,Upbeat,IN,EN,ENG,2upbeatmag.com,na
National,http://www.thewrap.com/,Wrap,IN,EN,ENG,thewrap.com,na
National,http://www.x17online.com/,X17 Online,IN,EN,ENG,x17online.com,na
National,http://www.americaru.com/,America RU,IN,ET,RUS,americaru.com,na
National,http://www.antena305.com/,Antena 305,IN,ET,SPA,antena305.com,na
National,http://www.blackelectorate.com/,Black Electorate,IN,ET,ENG,blackelectorate.com,na
National,https://blackpressusa.com/,Black Press USA,IN,ET,ENG,blackpressusa.com,na
National,https://diario-digital.com/,Diario Digital,IN,ET,SPA,diario-digital.com,na
National,http://www.huffingtonpost.com/black-voices/,Huffington Post Black Voices,IN,ET,ENG,huffingtonpost.com,na
National,http://voces.huffingtonpost.com/,Huffington Post Voces,IN,ET,SPA,voces.huffingtonpost.com,na
National,https://newsone.com/,News One,IN,ET,ENG,newsone.com,na
National,http://www.reznetnews.org/,Rez Net,IN,ET,ENG,reznetnews.org,na
National,http://www.theroot.com/,Root,IN,ET,ENG,theroot.com,na
National,http://www.1stheadlines.com/,1st Headlines,IN,GI,ENG,1stheadlines.com,na
National,http://www.20minutos.com/,20 Minutos,IN,GI,SPA,20minutos.com,na
National,http://agonist.org/,Agonist,IN,GI,ENG,agonist.org,na
National,https://alltop.com/,All Top,IN,GI,ENG,alltop.com,na
National,http://theallegiant.com/,Allegiant,IN,GI,ENG,theallegiant.com,na
National,http://www.alternet.org/,Alter Net,IN,GI,ENG,alternet.org,na
National,http://americanindependent.com/,American Independent,IN,GI,ENG,americanindependent.com,na
National,http://americannews.com/,American News,IN,GI,ENG,americannews.com,na
National,http://www.american-reporter.com/,American Reporter,IN,GI,ENG,american-reporter.com,na
National,http://www.anhourago.us/,An Hour Ago,IN,GI,ENG,anhourago.us,na
National,http://theantimedia.com,Anti Media,IN,GI,ENG,theantimedia.com,na
National,http://www.antiwar.com/,Antiwar,IN,GI,ENG,antiwar.com,na
National,http://www.aol.com/,AOL,IN,GI,ENG,aol.com,na
National,http://axcessnews.com/,Axcess News,IN,GI,ENG,axcessnews.com,na
National,http://www.bignewsnetwork.com/,Big News Network,IN,GI,ENG,bignewsnetwork.com,na
National,http://www.theblaze.com/,Blaze,IN,GI,ENG,theblaze.com,na
National,http://www.breakingnews.com/,Breaking News,IN,GI,ENG,breakingnews.com,na
