domain,target_community
wzzaradio.com,Black
greenecodemocrat.com,Black
birminghamtimes.com,Black
myv949.com,Black
103weup.com,Black
speakinoutweeklynews.net,Black
soldemedianochenews.org,Hispanic
azinformant.com,Black
prensaarizona.com,Hispanic
telemundoarizona.com,Hispanic
telemundo40.com,Hispanic
univision.com,Hispanic
yumasun.com,Hispanic
force3radio.com,Black
latinotvar.com,Hispanic
laprensalibrear.com,Hispanic
alamedapost.com,Black
visionhispanausa.com,Hispanic
eltimpano.org,Hispanic
indiawest.com,Asian
elpopular.pe,Hispanic
laopinion.com,Hispanic
lasentinel.net,Black
news4usonline.com,Black
ourweekly.com,Black
sgvtribune.com,Black
lafocusnews.com,Black
lawattstimes.com,Black
afrolanews.org,Black
elaviso.com,Hispanic
pacenewsonline.com,Black
telemundo52.com,Hispanic
hiplatina.com,Hispanic
lataco.com,Hispanic
laprensadelosangeles.com,Hispanic
wearemitu.com,Hispanic
excelsior.com.mx,Hispanic
asianjournal.com,Asian
balita.com,Asian
lanuevavoz.net,Hispanic
sanfernandosun.com,Hispanic
kjlhradio.com,Black
rafu.com,Asian
comptonherald.org,Black
pocho.com,Hispanic
etianguis.com,Hispanic
cronicasnews.com,Hispanic
nguoi-viet.com,Asian
miniondas.com,Hispanic
blackvoicenews.com,Black
laprensacolombiana.com,Hispanic
telemundo33.com,Hispanic
sacobserver.com,Black
hmongdailynews.com,Asian
precinctreporter.com,Black
sb-american.com,Black
hot1039.com,Black
sandiegoyuyu.com,Asian
ellatinoonline.com,Hispanic
ksdy50.com,Black
telemundo20.com,Hispanic
laprensa.org,Hispanic
sdvoice.info,Black
thesunreporter.com,Black
sfbayview.com,Black
windnewspaper.com,Asian
kpoo.com,Black
latinotimes.org,Hispanic
pnewstoday.com,Asian
latinocc.com,Hispanic
telemundoareadelabahia.com,Hispanic
nikkeiwest.com,Asian
el-observador.com,Hispanic
laoferta.com,Hispanic
alianzanews.com,Hispanic
indiacurrents.com,Asian
kbbf.org,Hispanic
tricountysentry.com,Black
elsemanario.us,Hispanic
telemundodenver.com,Hispanic
laprensadecolorado.com,Hispanic
denverurbanspectrum.com,Black
asianavemag.com,Asian
identidadlatina.com,Hispanic
ctlatinonews.com,Hispanic
lavozhispanact.com,Hispanic
theinnercitynews.com,Black
elsolnews.com,Hispanic
theyappie.com,Asian
eltiempohispano.com,Hispanic
hoyendelaware.com,Hispanic
delhispano.com,Hispanic
washingtoninformer.com,Black
elcomercio.com,Hispanic
eltiempolatino.com,Hispanic
whut.org,Black
telemundowashingtondc.com,Hispanic
noticiasdmv.com,Hispanic
lafamiliadebroward.com,Hispanic
telemundo51.com,Hispanic
floridasunreview.com,Black
sfltimes.com,Black
thewestsidegazette.com,Black
jacksonvillefreepress.com,Black
thefloridastar.com,Black
latinomediainc.com,Hispanic
flcourier.com,Black
flsentinel.com,Black
telemundo49.com,Hispanic
prensamexicana.com,Hispanic
lagacetanewspaper.com,Hispanic
977latino.com,Hispanic
hispanopost.com,Hispanic
diariolasamericas.com,Hispanic
doralfamilyjournal.com,Hispanic
elsolnewsmedia.com,Hispanic
elvenezolanonews.com,Hispanic
elnuevoherald.com,Hispanic
miamidiario.com,Hispanic
politicalcortadito.com,Hispanic
wmbm.com,Black
semanarioargentino.miami,Hispanic
miamitimesonline.com,Black
hylonewsmiami.com,Black
theorlandotimesnewspaper.com,Black
orlandoadvocate.com,Black
telemundo31.com,Hispanic
elsoldelaflorida.com,Hispanic
theweeklychallenger.com,Black
laprensa.hn,Hispanic
daytonatimes.com,Black
macon.com,Black
savannahtribune.com,Black
thechampionnewspaper.com,Black
theatlantavoice.com,Black
atlinq.com,Black
atlantaleader.com,Black
cnn.com,Hispanic
capitalbnews.org,Black
atlantatribune.com,Black
telemundoatlanta.com,Hispanic
elnuevogeorgia.com,Hispanic
notivisiongeorgia.com,Hispanic
columbustimes.com,Black
metrocourieraugusta.com,Black
kawaiola.news,Asian
koreatimes.com,Asian
filamcourier.com,Asian
telemundoboise.com,Hispanic
kbwe.org,Hispanic
991laperrona.com,Hispanic
lanuevasemana.com,Hispanic
chicagocrusader.com,Black
chicagodefender.com,Black
finalcall.com,Black
muslimjournal.net,Black
chicagoshimpo.com,Asian
reflejos.com,Hispanic
wvon.com,Black
telemundochicago.com,Hispanic
eldianews.net,Hispanic
lawndalenews.com,Hispanic
impremedia.com,Hispanic
ndigo.com,Black
citizennewspapergroup.com,Black
lavozdelpaseoboricua.org,Hispanic
cnwmedia.com,Black
thetriibe.com,Black
chicagokoreatimes.com,Asian
holaamericanews.com,Hispanic
elmexicanonews.com,Hispanic
coronaspanishmedia.com,Hispanic
webelpuente.com,Hispanic
indianapolisrecorder.com,Black
heraldtimesonline.com,Black
quepasamidwest.com,Hispanic
wevv.com,Black
ourtimesnewspaper.com,Black
laprensaiowa.com,Hispanic
truequemagazine.com,Hispanic
blackiowanews.com,Black
communityvoiceks.com,Black
planetavenus.online,Hispanic
dosmundos.com,Hispanic
radiolex.us,Hispanic
elkentubano.com,Hispanic
laesquinaky.com,Hispanic
aldiaenamerica.com,Hispanic
theshreveportsun.com,Black
jambalayanews.com,Hispanic
telemundoneworleans.com,Hispanic
kadn.com,Black
louisianaweekly.com,Black
ladatanews.com,Black
theneworleanstribune.com,Black
monroefreepress.com,Black
amjamboafrica.com,Black
latinopinionbaltimore.com,Hispanic
prensalibre.com,Hispanic
washingtonhispanic.com,Hispanic
radioamerica.net,Hispanic
theintersectionmag.com,Black
telemundodelmarva.com,Hispanic
afro.com,Black
baltimoretimes-online.com,Black
baltimorebeat.com,Black
bmorenews.com,Black
noticiaslavoz.com,Hispanic
masslive.com,Hispanic
telemundonuevainglaterra.com,Hispanic
sapannews.com,Asian
elmundoboston.com,Hispanic
sampan.org,Asian
elplaneta.com,Hispanic
baystatebanner.com,Black
elvocero.net,Hispanic
lazocultural.com,Hispanic
elinformadorusa.com,Hispanic
grtimes.com,Black
latinosenmichigantv.com,Hispanic
laprensanewspaper.com,Hispanic
latinodetroit.com,Hispanic
fm881whpr.com,Black
telegramnews.net,Black
michiganchronicle.com,Black
elcentralmedia.com,Hispanic
spokesman-recorder.com,Black
mntv.hn,Hispanic
telemundominnesota.com,Hispanic
univisionminnesota.com,Hispanic
elminnesotadehoy.com,Hispanic
laprensademn.com,Hispanic
lamatracanews.com,Hispanic
wjzd.com,Black
jacksonadvocateonline.com,Black
themississippilink.com,Black
104wgnl.com,Black
lanoticianewspaper.com,Hispanic
telocuentonews.com,Hispanic
telemundokc.com,Hispanic
univisionkansascity.com,Hispanic
kccallnews.net,Black
thekansascityglobe.com,Black
kansascitydefender.com,Black
kchispanicnews.com,Hispanic
redlatinastl.com,Hispanic
diariodigitalstl.com,Hispanic
stlamerican.com,Black
957fmtheboss.com,Black
telemundonebraska.com,Hispanic
theomahastar.com,Black
elmundo.net,Hispanic
lavozdenevada.com,Hispanic
telemundolasvegas.com,Hispanic
frontrunnernewjersey.com,Black
atlanticcityfocus.com,Black
telemundo47.com,Hispanic
njurbannews.com,Black
poderlatinousa.com,Hispanic
elespecialitomk.com,Hispanic
americanonewspaper.com,Hispanic
telemundonuevomexico.com,Hispanic
bard.edu,Hispanic
eldiariony.com,Hispanic
hitn.tv,Hispanic
ourtimepress.com,Black
viceversa-mag.com,Hispanic
latribunahispana.com,Hispanic
latintrends.com,Hispanic
manhattantimesnews.com,Hispanic
newsindiatimes.com,Asian
amsterdamnews.com,Black
newyorkbeacon.com,Black
nycaribnews.com,Black
thebronxfreepress.com,Hispanic
remezcla.com,Hispanic
impactolatino.com,Hispanic
chinadaily.com.cn,Asian
blackstarnews.com,Black
cnylatinonewspaper.com,Hispanic
ecuadornews.com.ec,Hispanic
nepyork.com,Asian
queenslatino.com,Hispanic
khasokhas.com,Asian
hispanonewjersey.com,Hispanic
westchestercountypress.com,Black
westchesterhispano.net,Hispanic
burlingtonlatino.com,Hispanic
holacarolina.org,Hispanic
wccg1045fm.com,Black
triangletribune.com,Black
wschronicle.com,Black
peacemakeronline.com,Black
greensborolatino.com,Hispanic
countynews4you.com,Black
thecharlottepost.com,Black
lanoticia.com,Hispanic
migenteweb.com,Hispanic
mundolatinomedia.com,Hispanic
progresohispanonews.com,Hispanic
latinatumusica.com,Hispanic
estrellatv.com,Hispanic
qcitymetro.com,Black
holanews.com,Hispanic
wnewsj.com,Black
greaterdiversity.com,Black
enlacelatinonc.org,Hispanic
laconexionusa.com,Hispanic
caro.news,Black
vocerolatino.com,Hispanic
blackgirlincle.com,Black
thecincinnatiherald.com,Black
thetruthtoledo.com,Black
buckeyereview.org,Black
lavanguardia.com,Hispanic
nuestracomunidad.org,Hispanic
blackchronicle.com,Black
ellatinoamerican.com,Hispanic
elnacionaldeoklahoma.com,Hispanic
theokeagle.com,Black
lasemanadelsur.com,Hispanic
lasamericas1380am.com,Hispanic
theblackwallsttimes.com,Black
latinmedianw.com,Hispanic
kunptv.com,Hispanic
theskanner.com,Black
portlandobserver.com,Black
newpittsburghcourier.com,Black
telemundo62.com,Hispanic
2puntosplatform.com,Hispanic
philasun.com,Black
scoopnewsusa.com,Black
phillytrib.com,Black
impactomedia.com,Hispanic
acontecerlatino.com,Hispanic
lprnews.org,Hispanic
