classification,class_2,local_regional,domain,name,state,website,twitter,youtube,facebook,owner,medium,collection_date,source
local,local,1,1011now.com,,,,,,,,,,
local,local,1,10news.com,kgtv,CA,http://www.10news.com/,,,,E. W. Scripps Company,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,10tv.com,,,,,,,,,,
local,local,1,11alive.com,wxia,GA,http://www.11alive.com/,,,,Tegna Media,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,12news.com,,,,,,,,,,
local,local,1,12newsnow.com,kbmt,TX,http://www.12newsnow.com/,,,,,TV station,2018-08-02 14:55:24.612585,stationindex
national,national,0,12up.com,,,,,,,,,,
local,local,1,13abc.com,wtvg,OH,http://www.13abc.com/,,,,Lilly Broadcasting,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,13newsnow.com,,,,,,,,,,
local,local,1,13wham.com,wham,NY,http://www.13wham.com,,,,Sinclair,TV station,2018-08-02 14:55:24.612585,sbgi.net
local,local,1,13wmaz.com,wmaz,GA,http://www.13wmaz.com/,,,,Tegna Media,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,14news.com,,,,,,,,,,
local,local,1,14wfie.com,wfie,IN,http://www.14wfie.com/,,,,Raycom,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,22thepoint.com,wpnt,PA,http:// 22thepoint.com,,,,Sinclair,TV station,2018-08-02 14:55:24.612585,sbgi.net
national,national,0,247sports.com,cats pause,KY,http://kentucky.247sports.com,TheCatsPause,http://www.youtube.com/user/247SportsStudio,https://www.facebook.com/247Sports,,Magazines,2018-08-02 14:55:24.612585,usnpl.com
national,national,0,247wallst.com,,,,,,,,,,
local,local,1,27east.com,27east.com,NY,http://www.27east.com,27east,http://www.youtube.com/user/twentyseveneast,https://www.facebook.com/27east,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,2havefun.com,2havefunin minnesota,MN,http://www.2havefun.com,,,,,Magazines,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,35wsee.com,wsee,PA,http://www.35wsee.com/,,,,Lily Broadcasting,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,397news.com,groton independent,SD,http://397news.com,,,,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,39online.com,kiah,TX,http://www.39online.com/,,,,Tribune,TV station,2018-08-02 14:55:24.612585,stationindex
national,national,0,3dprintingindustry.com,,,,,,,,,,
local,local,1,3newsnow.com,,,,,,,,,,
