domain,suffix,exclude
brookings.edu,edu,TRUE
chop.edu,edu,TRUE
health.harvard.edu,edu,FALSE
columbia.edu,edu,TRUE
yale.edu,edu,TRUE
hillsdale.edu,edu,TRUE
cornell.edu,edu,TRUE
harvard.edu,edu,TRUE
outlook.monmouth.edu,edu,FALSE
alaska.edu,edu,TRUE
aquinas.edu,edu,TRUE
arizona.edu,edu,TRUE
asu.edu,edu,TRUE
bacone.edu,edu,TRUE
berkeley.edu,edu,TRUE
bsu.edu,edu,TRUE
buffalostate.edu,edu,TRUE
byu.edu,edu,TRUE
byuh.edu,edu,TRUE
calu.edu,edu,TRUE
calvin.edu,edu,TRUE
camdencc.edu,edu,TRUE
case.edu,edu,TRUE
collegian.psu.edu,edu,FALSE
csun.edu,edu,TRUE
csuohio.edu,edu,TRUE
election2016.psu.edu,edu,FALSE
ferrum.edu,edu,TRUE
fhsu.edu,edu,TRUE
fit.edu,edu,TRUE
fullcoll.edu,edu,TRUE
goshen.edu,edu,TRUE
gustavus.edu,edu,TRUE
indiana.edu,edu,TRUE
jsu.edu,edu,TRUE
laverne.edu,edu,TRUE
lindenwood.edu,edu,TRUE
linfield.edu,edu,TRUE
linnbenton.edu,edu,TRUE
marlboro.edu,edu,TRUE
mercyhurst.edu,edu,TRUE
mit.edu,edu,TRUE
mssu.edu,edu,TRUE
nccu.edu,edu,TRUE
nmu.edu,edu,TRUE
nnu.edu,edu,TRUE
ohiou.edu,edu,TRUE
plu.edu,edu,TRUE
pomona.edu,edu,TRUE
psu.edu,edu,TRUE
rpi.edu,edu,TRUE
rsu.edu,edu,TRUE
southwestern.edu,edu,TRUE
spsu.edu,edu,TRUE
sulross.edu,edu,TRUE
swarthmore.edu,edu,TRUE
tamu.edu,edu,TRUE
tcu.edu,edu,TRUE
truman.edu,edu,TRUE
ua.edu,edu,TRUE
uab.edu,edu,TRUE
ualr.edu,edu,TRUE
uconn.edu,edu,TRUE
ucsc.edu,edu,TRUE
ucsf.edu,edu,TRUE
udel.edu,edu,TRUE
uga.edu,edu,TRUE
uic.edu,edu,TRUE
uiuc.edu,edu,TRUE
uncp.edu,edu,TRUE
usf.edu,edu,TRUE
utm.edu,edu,TRUE
uwsp.edu,edu,TRUE
wabash.edu,edu,TRUE
washington.edu,edu,TRUE
wayne.edu,edu,TRUE
wooster.edu,edu,TRUE
wpi.edu,edu,TRUE
wsu.edu,edu,TRUE
wuacc.edu,edu,TRUE
news.berkeley.edu,edu,FALSE
newsroom.ucla.edu,edu,FALSE
poll.qu.edu,edu,FALSE
thesouthend.wayne.edu,edu,FALSE
paw.princeton.edu,edu,FALSE
buffalo.edu,edu,TRUE
cidrap.umn.edu,edu,FALSE
e360.yale.edu,edu,FALSE
insight.kellogg.northwestern.edu,edu,FALSE
news.stanford.edu,edu,FALSE
news.yale.edu,edu,FALSE
today.uconn.edu,edu,FALSE
uml.edu,edu,TRUE
unlv.edu,edu,TRUE
wm.edu,edu,TRUE
wusfnews.wusf.usf.edu,edu,FALSE
yaleglobal.yale.edu,edu,TRUE
www.cw.ua.edu,edu,FALSE
www.wildcat.arizona.edu,edu,FALSE
lionschronicle.uafs.edu,edu,FALSE
thelink.harding.edu,edu,FALSE
advocate.jbu.edu,edu,FALSE
csub.edu,edu,TRUE
tsl.pomona.edu,edu,FALSE
ohlone.edu,edu,TRUE
collegian.csufresno.edu,edu,FALSE
hornet.fullcoll.edu,edu,FALSE
pioneer.csuhayward.edu,edu,FALSE
chimes.biola.edu,edu,FALSE
sundial.csun.edu,edu,FALSE
synapse.ucsf.edu,edu,FALSE
palomar.edu,edu,TRUE
blogs.adams.edu,edu,TRUE
echo.wcsu.edu,edu,FALSE
commons.trincoll.edu,edu,TRUE
crimson.fit.edu,edu,FALSE
gargoyle.flagler.edu,edu,FALSE
www.wusf.usf.edu,edu,FALSE
oglethorpe.edu,edu,TRUE
shorter.edu,edu,TRUE
hilo.hawaii.edu,edu,TRUE
collegeofidaho.edu,edu,TRUE
robertmorris.edu,edu,TRUE
cod.edu,edu,TRUE
lakeforest.edu,edu,TRUE
uis.edu,edu,TRUE
bachelor.wabash.edu,edu,FALSE
record.goshen.edu,edu,FALSE
staff.niacc.edu,edu,TRUE
leader.fhsu.edu,edu,FALSE
blogs.jccc.edu,edu,TRUE
campbellsville.edu,edu,TRUE
henderson.kctcs.edu,edu,TRUE
thepatriot.ucumberlands.edu,edu,TRUE
carroll.edu,edu,TRUE
gleaner.rutgers.edu,edu,FALSE
bergen.edu,edu,TRUE
zorak.monmouth.edu,edu,TRUE
spectrum.buffalo.edu,edu,FALSE
students.hamilton.edu,edu,TRUE
oracle.newpaltz.edu,edu,FALSE
index.niagara.edu,edu,TRUE
poly.rpi.edu,edu,FALSE
org.elon.edu,edu,TRUE
minotstateu.edu,edu,TRUE
thepost.ohiou.edu,edu,FALSE
transcript.owu.edu,edu,FALSE
collegian.lorainccc.edu,edu,FALSE
thewoostervoice.spaces.wooster.edu,edu,FALSE
baconian.bacone.edu,edu,TRUE
commuter.linnbenton.edu,edu,TRUE
siskiyou.sou.edu,edu,FALSE
blogs.chemeketa.edu,edu,TRUE
hilltop.corban.edu,edu,FALSE
bowiestate.edu,edu,TRUE
amherststudent.amherst.edu,edu,FALSE
endicott.edu,edu,TRUE
tech.mit.edu,edu,TRUE
capecod.edu,edu,TRUE
towers.wpi.edu,edu,TRUE
herald.cornerstone.edu,edu,FALSE
compass.lssu.edu,edu,FALSE
apps.carleton.edu,edu,TRUE
weekly.blog.gustavus.edu,edu,FALSE
rustcollege.edu,edu,TRUE
info.umkc.edu,edu,TRUE
index.truman.edu,edu,TRUE
