sourcedomain_id,fips,source,description,onlinesince,rank,state,city,url,lon,lat,county
andalusiastarnews-andalusiastarnews.com,1039,andalusiastarnews,"Serves Covington County, located in Andalusia. Daily editions of local news, sports, opinion, and obituaries. Includes circulation and subscription details, local links, and archives.",15-Oct-1998,1210863,Alabama,Andalusia,,-86.48329129999998,31.3085039,Covington
atmoreadvance-atmoreadvance.com,1053,atmoreadvance,"Twice-weekly community newspaper serving Escambia County, Alabama and Florida. News, sports, obituaries, event calendars, opinion columns, local polls and a message board.",07-Jul-1998,1592128,Alabama,Atmore,,-87.4938708,31.0237921,Escambia
thebrewtonstandard-brewtonstandard.com,1053,thebrewtonstandard,"Serving Brewton, East Brewton and the communities of Eastern and Central Escambia County.",07-Jul-1998,1208043,Alabama,Brewton,,-87.0721918,31.1051779,Escambia
clantonadvertiser-clantonadvertiser.com,1021,clantonadvertiser,"News, sports, opinions, obituaries, features, weather for Chilton County, Alabama.",07-Jul-1998,1548734,Alabama,Clanton,,-86.6294262,32.8387371,Chilton
gadsdenmessenger-gadsdenmessenger.com,1055,gadsdenmessenger,"Weekly newspaper online edition with feature stories archived by date, columns, obituaries, and news. Located in Gadsden.",19-Sep-1999,4800763,Alabama,Gadsden,,-86.00663859999997,34.014264000000004,Etowah
greenvilleadvocate-greenvilleadvocate.com,1013,greenvilleadvocate,"Online edition of twice-weekly newspaper includes selected news items from around Butler County, sports stories, brief recent obituaries.",07-Jul-1998,1510346,Alabama,Greenville,,-86.6177517,31.8295972,Butler
selmatimesjournal-selmatimesjournal.com,1047,selmatimesjournal,"Serving Selma and the Black Belt with daily news, sports, classifieds, obituaries and entertainment.",07-Jul-1998,903427,Alabama,Selma,,-87.0211007,32.4073589,Dallas
troymessenger-troymessenger.com,1109,troymessenger,"Serving Troy and Pike country with daily news, weather, sports, community and obituaries.",07-Jul-1998,913029,Alabama,Troy,,-85.969951,31.8087678,Pike
thevalleytimesnews-valleytimes-news.com,1017,thevalleytimesnews,"Newspaper serving West Point, Georgia and Lanett and Valley, Alabama.",18-Aug-1997,1449208,Alabama,Lanett,,-85.19049709999999,32.8687391,Chambers
alaskajournalofcommerce-alaskajournal.com,2020,alaskajournalofcommerce,"Online business news and profiles, subscriptions, municipal pages, and Assembly agenda.",04-Mar-1997,914422,Alaska,Anchorage,,-149.90027780000003,61.2180556,Anchorage
juneauempire-juneauempire.com,2110,juneauempire,"Daily. News, weather, sports, visitor guide, television listings, legislative news, web guide, and classifieds.",23-Jul-1996,439896,Alaska,Juneau,,-134.4197221,58.3019444,Juneau
peninsulaclarion-peninsulaclarion.com,2122,peninsulaclarion,"Kenai peninsula local and state news, sports, outdoors, classifieds, business, restaurants, maps, opinion, calendar, stocks, forums, features, crosswords, and circulations services.",06-Mar-1998,475237,Alaska,Kenai Peninsula,,-151.382264,60.08584860000001,Kenai Peninsula
arizonacapitoltimes-azcapitoltimes.com,4013,arizonacapitoltimes,None,09-Sep-1999,231936,Arizona,Phoenix,,-112.0740373,33.4483771,Maricopa
arkansastimes-arktimes.com,5119,arkansastimes,Online edition with political and cultural interest stories updated weekly.,05-Mar-1997,174503,Arkansas,Little Rock,,-92.2895948,34.7464809,Pulaski
fayettevillefreeweekly-freeweekly.com,5143,fayettevillefreeweekly,None,21-May-1998,3376968,Arkansas,Fayetteville,,-94.1718542,36.082156,Washington
alamedatimesstar-eastbaytimes.com,6001,alamedatimesstar,"A daily newspaper with a full range of state, national, international and sports news serving the San Francisco East Bay area.",None,53056,California,Alameda,,-122.2821855,37.7798721,Alameda
thebakersfieldcalifornian-bakersfield.com,6029,thebakersfieldcalifornian,"Daily newspaper for Bakersfield features area news, sports, and editorials. Newspaper site is included inside a portal site called Bakersfield.com",29-Oct-1995,112476,California,Bakersfield,,-119.0187125,35.3732921,Kern
campbellreporter-mercurynews.com,6085,campbellreporter,"Daily newspaper covering the Bay Area providing news, entertainment, sports, business, health, travel, and home information.",19-Aug-1996,6046,California,Campbell,,-121.9499568,37.2871651,Santa Clara
contracostatimes-eastbaytimes.com,6013,contracostatimes,"A daily newspaper with a full range of state, national, international and sports news serving the San Francisco East Bay area.",None,53056,California,Walnut Creek,,-122.0651819,37.9100783,Contra Costa
cupertinocourier-mercurynews.com,6085,cupertinocourier,"Daily newspaper covering the Bay Area providing news, entertainment, sports, business, health, travel, and home information.",19-Aug-1996,6046,California,Cupertino,,-122.0321823,37.3229978,Santa Clara
dailybreeze-dailybreeze.com,6037,dailybreeze,Covers the South Bay and Harbor area with both local and global news. Provides online news and three daily print editions.,08-Aug-1996,97195,California,Torrance,,-118.3406288,33.83584920000001,Los Angeles
dailydemocrat-dailydemocrat.com,6113,dailydemocrat,"Daily newspaper serving Yolo County, features news, sports, real estate and classified advertising.",18-Dec-1997,512308,California,Woodland,,-121.7732971,38.6785157,Yolo
redbluffdailynews-redbluffdailynews.com,6103,redbluffdailynews,"Classified advertisements, local and world news, home and garden, people, entertainment, commentary and sports.",24-Jun-1998,725876,California,Red Bluff,,-122.2358302,40.1784886,Tehama
dailynews-dailynews.com,6037,dailynews,"Los Angeles based newspaper with online and print versions. Contains entertainment, local news, world news, sports, and business.",22-Feb-1999,31515,California,Woodland Hills,,-118.6089752,34.165357,Los Angeles
thedailyrepublic-dailyrepublic.com,6095,thedailyrepublic,"View items from a newspaper serving Fairfield-Suisun City. Includes with news, sports, entertainment, lifestyle and political coverage.",04-Jan-1996,180241,California,Fairfield,,-122.04051509999998,38.2491956,Solano
thedavisenterprise-davisenterprise.com,6113,thedavisenterprise,Daily newspaper for with subscription content. Provides subscription and payment form.,04-Jan-1996,354051,California,Davis,,-121.7405167,38.5449065,Yolo
theenterpriserecord-chicoer.com,6007,theenterpriserecord,Local and national news. Daily newspaper serving Chico and the greater mid-valley area.,28-Sep-1997,250014,California,Chico,,-121.8374777,39.7284944,Butte
fortbraggadvocatenews-advocate-news.com,6045,fortbraggadvocatenews,"Local news, sports and classified ads.",16-Feb-1998,1854140,California,Fort Bragg,,-123.8052935,39.445723,Mendocino
inlandvalleydailybulletin-dailybulletin.com,6071,inlandvalleydailybulletin,Provides local stories and information about the Inland Valley and surrounding Southern California areas. Online and print publication.,18-Aug-1996,184138,California,Ontario,,-117.6508876,34.0633443,San Bernardino
theaspentimes-aspentimes.com,8097,theaspentimes,"Selected news items from the newspaper. Covers snow, road, and mountain conditions. Also covers sports, classifieds, entertainment around Aspen, obituaries, real estate reports, archives, and RSS feeds.",28-Sep-1994,166208,Colorado,Aspen,,-106.8175387,39.19109829999999,Pitkin
aurorasentinel-sentinelcolorado.com,8005,aurorasentinel,None,None,124237,Colorado,Aurora,,-104.8319195,39.7294319,Arapahoe
boulderweekly-boulderweekly.com,8013,boulderweekly,"The weekly alternative newspaper for Boulder, Colo.",15-May-1996,489427,Colorado,Boulder,,-105.2705456,40.0149856,Boulder
broomfieldenterprise-broomfieldenterprise.com,8014,broomfieldenterprise,"Local news, sports, lifestyles, entertainment, business and opinion.",23-Nov-1999,802638,Colorado,Broomfield,,-105.0866504,39.9205411,Broomfield
craigdailypress-craigdailypress.com,8081,craigdailypress,"Selected items from the print edition serving Craig and distributed throughout Moffat County. Subscribe, search archives, and find advertising details along with news, sports and coverage of community events.",25-Jun-1997,739540,Colorado,Craig,,-107.5464541,40.51524910000001,Moffat
thedailycamera-dailycamera.com,8013,thedailycamera,"Offers a history for this Boulder-based newspaper, plus news sports, business, opinion and entertainment items from the print edition. Also weblogs, podcasts, message board , and email updates.",14-Jan-2002,80561,Colorado,Boulder,,-105.2705456,40.0149856,Boulder
dailyrecord-canoncitydailyrecord.com,8043,dailyrecord,Community newspaper for the Greater Royal Gorge Region and Fremont County.,01-Nov-1999,400890,Colorado,Canon,,-105.2253316,38.4494063,Fremont
thedenverpost-denverpost.com,8031,thedenverpost,"Daily paper with local and national news, classifieds, community information, opinions, and entertainment. Servicing the Rocky Mountain Empire.",10-Mar-1995,2460,Colorado,Denver,,-104.990251,39.7392358,Denver
estesparktrailgazette-eptrail.com,8069,estesparktrailgazette,Local newspaper with articles and classifieds.,07-Mar-1996,440541,Colorado,Estes Park,,-105.52166509999998,40.3772059,Larimer
fortmorgantimes-fortmorgantimes.com,8087,fortmorgantimes,"Offering headline stories, staff list, obituaries, sports, and weather. Print version has been serving Morgan County since 1884 and is published each afternoon, Monday through Saturday.",31-Mar-1999,825724,Colorado,Fort Morgan,,-103.7999509,40.25025820000001,Morgan
greeleytribune-greeleytribune.com,8123,greeleytribune,"News from Greeley, Colorado including: news, sports, entertainment, real estate, obituaries.",30-Jan-2001,231577,Colorado,Greeley,,-104.7091322,40.42331420000001,Weld
haxtunflemingherald-hfherald.com,8095,haxtunflemingherald,"Weekly newspaper covering Phillips and parts of Logan, Yuma and Sedgwick counties.",28-Feb-1996,3941663,Colorado,Haxtun,,-102.6268584,40.64110220000001,Phillips
thelamardailynews-lamarledger.com,8099,thelamardailynews,"Today's headlines plus coverage of weather, obituaries, sports, and letters to the editor.",None,1274364,Colorado,Lamar,,-102.6207496,38.087230700000006,Prowers
northfortynews-northfortynews.com,8069,northfortynews,None,16-Feb-1999,1111651,Colorado,LaPorte,,-105.1377578,40.6263711,Larimer
thepagosaspringssun-pagosasun.com,8007,thepagosaspringssun,"Weekly newspaper of Archuleta County with articles, classified and area information.",18-Aug-2002,750936,Colorado,Pagosa Springs,,-107.0097617,37.26945,Archuleta
steamboatpilot-steamboatpilot.com,8107,steamboatpilot,None,04-Dec-1998,154740,Colorado,Steamboat Springs,,-106.8317158,40.4849769,Routt
summitdailynews-summitdaily.com,8117,summitdailynews,"News and weather for Summit County, Colorado. Coverage spans communities in Breckenridge, Copper, Dillon, Frisco, Keystone and Silverthorne.",03-Nov-1995,96905,Colorado,Frisco,,-106.0975203,39.5744309,Summit
waterburyrepublicanamerican-rep-am.com,9009,waterburyrepublicanamerican,"Daily paper offering local, state, regional, national and international news plus editorials, classifieds, features and sports.",26-May-1998,311561,Connecticut,Waterbury,,-73.0514965,41.55815250000001,New Haven
bocabeacon-bocabeacon.com,12071,bocabeacon,Provides updated local and regional news.,28-Jan-1997,2886755,Florida,Boca Grande,,-82.26167170000002,26.7490152,Lee
keywestcitizen-keysnews.com,12087,keywestcitizen,"Past stories and current items from daily paper, The Citizen. Provides news, sports, entertainment, community calendar and weather.",31-Jul-1998,290449,Florida,Key West,,-81.7799871,24.5550593,Monroe
lakecityreporter-lakecityreporter.com,12023,lakecityreporter,Newspaper.,17-Aug-1998,3459377,Florida,Lake City,,-82.63928990000002,30.1896756,Columbia
madisoncountycarrier-greenepublishing.com,12079,madisoncountycarrier,"Madison County Carrier and the Madison Enterprise Recorder, covering news, sports, and commentary for the county.",11-Aug-1999,8995087,Florida,Madison,,-83.4129254,30.4693772,Madison
miami’scommunitynewspapers-communitynewspapers.com,12086,miami’scommunitynewspapers,"Publishers of 12 local weekly newspapers and enewsletters. Articles about local events, PTA, Chamber of commerce, High school sports, restaurant reviews,local politics,car reviews and commentary.",12-Jun-1996,92237,Florida,Miami,,-80.1917902,25.7616798,Miami-Dade
miamitoday-miamitodaynews.com,12086,miamitoday,"News of Miami, Florida. Focus on business, international trade, real estate and development, e-commerce",06-Apr-1999,731752,Florida,Miami,,-80.1917902,25.7616798,Miami-Dade
newsleader-fbnewsleader.com,12089,newsleader,"Online edition offering local and regional news including weather, local sports, business and online print editions by subscription.",25-Sep-1997,1149325,Florida,Fernandina Beach,,-81.4625919,30.669681800000006,Nassau
palatkadailynews-palatkadailynews.com,12107,palatkadailynews,Online edition of local newspaper.,23-Jul-1997,1629355,Florida,Palatka,,-81.6375819,29.648580100000004,Putnam
thetowncrier-gotowncrier.com,12099,thetowncrier,Updated local and regional news.,24-May-1999,602379,Florida,Wellington,,-80.2683571,26.6617635,Palm Beach
atlantadailyworld-atlantadailyworld.com,13121,atlantadailyworld,Atlanta's oldest continuously published(since 1928) black newspaper.,21-Nov-1997,588599,Georgia,Atlanta,,-84.3879824,33.7489954,Fulton
claytontribune-theclaytontribune.com,13241,claytontribune,Weekly newspaper for Rabun County. Includes news and classifieds.,07-Oct-1999,9545799,Georgia,Clayton,,-83.4009933,34.8781479,Rabun
thecoastalcourier-coastalcourier.com,13179,thecoastalcourier,"Local newspaper includes classifieds, news, community events and advertisements.",None,1110538,Georgia,Hinesville,,-81.6141099,31.8315028,Liberty
dawsonadvertiser-dawsonnews.com,13085,dawsonadvertiser,"Weekly local newspaper, with news and community information. Located in Dawsonville.",30-Sep-1997,1680043,Georgia,Dawsonville,,-84.1190804,34.4212052,Dawson
lagrangedailynews-lagrangenews.com,13285,lagrangedailynews,"Includes local news, sports, business, and classifieds.",06-Nov-1996,746331,Georgia,La Grange,,-85.0322444,33.0362218,Troup
postsearchlight-thepostsearchlight.com,13087,postsearchlight,Online edition of the local newspaper published twice per week.,05-May-2000,1392444,Georgia,Bainbridge,,-84.5754699,30.9037995,Decatur
thestatesboroherald-statesboroherald.com,13031,thestatesboroherald,"Daily newspaper with local news, sports, weather, and recreation.",15-Sep-1997,593148,Georgia,Statesboro,,-81.78316740000002,32.4487876,Bulloch
thetimescourier-timescourier.com,13123,thetimescourier,"Local newspaper for Gilmer County, Georgia.",10-Jan-2000,9545917,Georgia,Ellijay,,-84.4821498,34.6948076,Gilmer
tribune-tribune-georgian.com,13039,tribune,"Newspaper published twice weekly for the residents of Camden County, Georgia. Shown are local stories, classifieds, advertising information, obituaries, how to subscribe and events.",06-Oct-1999,9546021,Georgia,St. Marys,,-81.5706109,30.7478954,Camden
valleytimesnews-valleytimes-news.com,13285,valleytimesnews,"Newspaper serving West Point, Georgia and Lanett and Valley, Alabama.",18-Aug-1997,1449208,Georgia,West Point,,-85.18327459999998,32.877905600000005,Troup
westhawaiitoday-westhawaiitoday.com,15001,westhawaiitoday,"Newspaper published daily on the island of Hawaii. Includes local news, sports, and classifieds.",25-Nov-1996,188206,Hawaii,Kailua Kona,,-155.9969261,19.639994,Hawaii
chicagosuntimes-suntimes.com,17031,chicagosuntimes,"Daily newspaper offering news from international to local community news, sports and weather. Features free email accounts, delivery and subscription information and classifieds.",25-Jul-1995,13681,Illinois,Chicago,,-87.62979820000002,41.8781136,Cook
dailyherald-dailyherald.com,17031,dailyherald,"Daily paper serving Arlington Heights and suburban Chicago area. Featuring local, county, state and national news, sports and features. Includes seven days of archives, and certain articles back to 1995.",14-Mar-1995,25901,Illinois,Arlington Heights,,-87.9806265,42.0883603,Cook
dailyreviewatlas-reviewatlas.com,17187,dailyreviewatlas,None,20-Jan-1999,1257817,Illinois,Monmouth,,-90.6473576,40.9114271,Warren
journalstar-pjstar.com,17143,journalstar,"Features local news, columns and information every day.",14-Sep-1995,187375,Illinois,Peoria,,-89.58898640000002,40.6936488,Peoria
thejournalstandard-journalstandard.com,17177,thejournalstandard,None,20-Nov-1998,623053,Illinois,Freeport,,-89.6212271,42.2966861,Stephenson
laraza-laraza.com,17031,laraza,Spanish and Bilingual Hispanic newspaper in Chicago.,16-Aug-1995,273646,Illinois,Chicago,,-87.62979820000002,41.8781136,Cook
newsprogress-newsprogress.com,17139,newsprogress,"Serving Sullivan and Moultrie County as an online information source and weekly newspaper. Local news, sports, classifieds, reader submitted stories and events, and links are featured.",02-Aug-1996,6606922,Illinois,Sullivan,,-88.6078392,39.599479,Moultrie
pekindailytimes-pekintimes.com,17179,pekindailytimes,"Coverage focuses on Tazewell and Mason county communities including Pekin, East Peoria, Morton, Delavan, Groveland, Tremont, Hopedale, Minier, Armington, Havana, Mason City and Bath.",08-Nov-2000,1021997,Illinois,Pekin,,-89.640658,40.5675388,Tazewell
rockfordregisterstar-rrstar.com,17201,rockfordregisterstar,"Published daily offering local news, sports, business, opinion, entertainment, classifieds and photo gallery. Also subscription and advertising details.",22-May-1995,337134,Illinois,Rockford,,-89.09399520000002,42.2711311,Winnebago
thestatejournalregister-sj-r.com,17167,thestatejournalregister,"Offers daily news, sports, features, and classifieds from Springfield, the state s capital city. Also provides coupons, advertising and contact information.",02-Jan-1996,281006,Illinois,Springfield,,-89.6501481,39.7817213,Sangamon
therepublic-therepublic.com,18005,therepublic,"Columbus, Indiana's online newspaper.",15-Jul-1997,374248,Indiana,Columbus,,-85.9213796,39.2014404,Bartholomew
clearlakemirrorreporter-clreporter.com,19033,clearlakemirrorreporter,"Offers sports, news, classifieds, obituaries, calendar and archives. Subscription details and brief history of this weekly publication.",20-Aug-1997,2415991,Iowa,Clear Lake,,-93.3788108,43.1435564,Cerro Gordo
harlanonline-harlanonline.com,19165,harlanonline,"News, sports, obituaries, business directory and community information for Shelby County.",17-Nov-1999,3528383,Iowa,Harlan,,-95.3255541,41.653044,Shelby
marshalltowntimesrepublican-timesrepublican.com,19127,marshalltowntimesrepublican,"Published daily for Marshalltown. Local news, sports, columns, obituaries, legal notices, archives, classifieds, and subscription and advertising details.",11-May-1999,1049874,Iowa,Marshalltown,,-92.9080375,42.0494674,Marshall
rivercitiesreader-rcreader.com,19163,rivercitiesreader,"Published weekly for Quad Cities area including Davenport and Bettendorf, and Rock Island and Moline, Illinois. News, arts, entertainment and features.",27-Aug-1996,341127,Iowa,Davenport,,-90.5776367,41.5236437,Scott
greatbendtribune-gbtribune.com,20009,greatbendtribune,"Online newspaper covering news, weather, and community events for Great Bend, Kansas.",31-Jul-1997,1214488,Kansas,Great Bend,,-98.7648073,38.36445670000001,Barton
hillsborofreepress-hillsborofreepress.com,20115,hillsborofreepress,"News, features, classifieds, and community information for Marion County, Kansas.",None,5302065,Kansas,Hillsboro,,-97.2044723,38.3519555,Marion
themorningsun-morningsun.net,20037,themorningsun,"Pittsburg, KS 66762 - Online edition of Pittsburg Morning Sun owned by Morris Communication. Local news, sports and special features on the community and Pittsburg State University.",02-Jun-1998,888562,Kansas,Pittsburg,,-94.70496,37.410884,Crawford
theadvocatemessenger-amnews.com,21021,theadvocatemessenger,"Serves Boyle, Casey, Garrard, Lincoln and Mercer counties by providing daily news, sports, and society features. Includes subscription rates and contact information.",11-Feb-1996,995385,Kentucky,Danville,,-84.7721702,37.6456329,Boyle
thehancockclarion-hancockclarion.com,21091,thehancockclarion,"Weekly publication provides Hancock County with local news, obituaries and sports headlines. Includes subscription rates and contact information.",None,7703822,Kentucky,Hawesville,,-86.754988,37.9000554,Hancock
harrodsburgherald-harrodsburgherald.com,21167,harrodsburgherald,"Serves Mercer County by providing local news, sports, editorials, obituaries, classified ads, and printing services. Includes contact information and rates for advertising. Located in Harrodsburg.",28-Oct-1999,4482677,Kentucky,Harrodsburg,,-84.84328520000003,37.762298,Mercer
theledgerindependent-maysville-online.com,21161,theledgerindependent,"Daily editions of local news, sports, editorials and classified ads. Includes chat and community links. Located in Maysville.",26-Feb-1999,2020453,Kentucky,Maysville,,-83.744365,38.6411854,Mason
lewiscountyherald-lewiscountyherald.com,21135,lewiscountyherald,"Weekly editions published in Vanceburg. Features local news, historical information and photos, and a discussion forum. Includes subscription and contact details.",29-Mar-2000,3081931,Kentucky,Vanceburg,,-83.31879520000003,38.599243,Lewis
thewinchestersun-winchestersun.com,21049,thewinchestersun,"Newspaper offers state and local news, sports, weather, and editorial columns.",10-May-1996,1223518,Kentucky,Winchester,,-84.1796503,37.990079,Clark
bossierpresstribune-bossierpress.com,22015,bossierpresstribune,"Includes News, Sports, Obituaries, and Classifieds.",29-Feb-2000,2164950,Louisiana,Bossier City,,-93.7321228,32.5159852,Bossier
businessreport-businessreport.com,22033,businessreport,"Business news, events and commentary on the Baton Rouge area.",09-Jan-1996,321025,Louisiana,Baton Rouge,,-91.1871466,30.451467699999995,East Baton Rouge
citybusiness-neworleanscitybusiness.com,22071,citybusiness,None,18-Dec-1998,603701,Louisiana,New Orleans,,-90.0715323,29.9510658,Orleans
thecrowleypostsignal-crowleypostsignal.com,22001,thecrowleypostsignal,"The Crowley Post Signal, established in 1886, sits in the heart of Acadia Parish in Crowley, Louisiana, as the only daily newspaper in its agriculture-rich parish.",14-Dec-1998,2885163,Louisiana,Crowley,,-92.3745761,30.214092800000003,Acadia
thedailyreview-daily-review.com,22101,thedailyreview,"Morgan City, Louisiana Area and St. Mary Parish.",04-Sep-1996,5025125,Louisiana,Morgan City,,-91.20677,29.6993748,St. Mary
thefranklinbannertribune-banner-tribune.com,22101,thefranklinbannertribune,"Local newspaper for Franklin, St. Mary Parish, Louisiana.",18-Mar-1998,None,Louisiana,Franklin,,-91.5015002,29.7960399,St. Mary
l’observateur-lobservateur.com,22095,l’observateur,"Bi-weekly community newspaper serving Laplace, St. John the Baptist, St. James and St. Charles Parishes and surrounding areas.",06-Aug-1997,1522427,Louisiana,La Place,,-90.4800848,30.0665907,St. John the Baptist
mindenpressherald-press-herald.com,22119,mindenpressherald,Daily newspaper featuring local news and community information.,26-Jan-1998,1958076,Louisiana,Minden,,-93.2868354,32.6154278,Webster
advertiserdemocrat-sunjournal.com,23017,advertiserdemocrat,"Provides national, regional, and local news. Includes special reports, coupons, obituaries, classifieds, and a photo gallery.",03-Mar-1997,201689,Maine,Norway,,-70.5448096,44.2139566,Oxford
theellsworthamerican-ellsworthamerican.com,23009,theellsworthamerican,"Local news for downeast Maine, including Hancock and Washington County. Covers cultural events as well.",11-Dec-1997,425588,Maine,Ellsworth,,-68.4194641,44.5434095,Hancock
thekennebecjournal-centralmaine.com,23011,thekennebecjournal,"Coverage of local, city wide news with some coverage of state political news.",24-Nov-1998,107748,Maine,Augusta,,-69.7794897,44.31062410000001,Kennebec
sunjournal-sunjournal.com,23001,sunjournal,"Provides national, regional, and local news. Includes special reports, coupons, obituaries, classifieds, and a photo gallery.",03-Mar-1997,201689,Maine,Lewiston,,-70.2147764,44.100351,Androscoggin
thetimesrecord-pressherald.com,23005,thetimesrecord,"Features news from the Press Herald and Maine Sunday Telegram. Serves southern Maine from Portland, Cape Elizabeth, Gorham, Falmouth to Lewiston-Auburn.",07-Sep-1995,51009,Maine,Brunswick,,-69.966996,43.9140162,Cumberland
thearlingtonadvocate-wickedlocal.com,25017,thearlingtonadvocate,"Arlington's home on the web, featuring news and information from the Arlington Advocate.",21-Jun-2005,45484,Massachusetts,Lexington,,-71.2271531,42.4473497,Middlesex
thebelmontcitizenherald-wickedlocal.com,25017,thebelmontcitizenherald,Online version of this local newspaper.,21-Jun-2005,45484,Massachusetts,Arlington,,-71.15647290000003,42.4153925,Middlesex
