domain,path,type,media_name,state_abbr,countyFIPS,is_local_news_site
westsideconnect.com,,newspaper,Gustine Press-Standard,CA,06047,
mantecabulletin.com,,newspaper,Manteca Bulletin,CA,06077,
oakdaleleader.com,,newspaper,Oakdale Leader,CA,06099,
turlockjournal.com,,newspaper,Turlock Journal,CA,06099,
amityvillerecord.com,,newspaper,Amityville Record,NY,36103,
massapequapost.com,,newspaper,Massapequa Post,NY,36059,
babylonbeacon.com,,newspaper,The Beacon,NY,36103,
dailyadvance.com,,newspaper,Bertie Ledger-Advance,NC,37015,
ashemountaintimes.com,,newspaper,Ashe Post & Times,NC,37009,
averyjournal.com,,newspaper,The Avery Journal-Times,NC,37011,
theduplintimes.com,,newspaper,Duplin Times,NC,37061,
rockymounttelegram.com,,newspaper,Rocky Mount Telegram,NC,37127,
reflector.com,,newspaper,Daily Reflector,NC,37147,
thestokesnews.com,,newspaper,The Stokes News,NC,37169,
elkintribune.com,,newspaper,The Tribune,NC,37171,
mtairynews.com,,newspaper,Mount Airy News,NC,37171,
wataugademocrat.com,,newspaper,Watauga Democrat,NC,37189,
yadkinripple.com,,newspaper,Yadkin Ripple,NC,37197,
peoplesdefender.com,,newspaper,People's Defender,OH,39001,
delphosherald.com,,newspaper,Delphos Herald,OH,39003,
limaohio.com,,newspaper,Lima News,OH,39003,
blufftonnews.com,,newspaper,Bluffton News,OH,39003,
starbeacon.com,,newspaper,Star-Beacon,OH,39007,
gazettenews.com,,newspaper,Courier,OH,39007,
heraldandnews.com,,newspaper,Herald and News,OR,41035,
lakecountyexam.com,,newspaper,Lake County Examiner,OR,41037,
thedailytimes.com,,newspaper,Daily Times,TN,47009,
newportplaintalk.com,,newspaper,Newport Plain Talk,TN,47029,
greenevillesun.com,,newspaper,Greeneville Sun,TN,47059,
therogersvillereview.com,,newspaper,Rogersville Review,TN,47073,
news-herald.net,,newspaper,News-Herald,TN,47105,
tellicovillageconnection.com,,newspaper,The Connection,TN,47105,
dailypostathenian.com,,newspaper,Daily Post-Athenian,TN,47107,
advocateanddemocrat.com,,newspaper,The Advocate and Democrat,TN,47123,
rheaheraldnews.com,,newspaper,Herald-News,TN,47143,
judithbasinpress.net,,newspaper,Judith Basin Press,MT,30045,
livingstonenterprise.com,,newspaper,Livingston Enterprise,MT,30067,
terrytribune.com,,newspaper,Terry Tribune,MT,30079,
independent-press.com,,newspaper,The Forsyth Independent Press,MT,30087,
stillwatercountynews.com,,newspaper,Stillwater County News,MT,30095,
bigtimberpioneer.net,,newspaper,Big Timber Pioneer,MT,30097,
laureloutlook.com,,newspaper,Laurel Outlook,MT,30111,
virginiamn.com,,newspaper,Mesabi Tribune,MN,27137,
erstarnews.com,,newspaper,Elk River Star News,MN,27141,
northfieldnews.com,,newspaper,Northfield News,MN,27131,
forestlaketimes.com,,newspaper,Forest Lake Times,MN,27163,
stillwatergazette.com,,newspaper,The Gazette,MN,27163,
grandrapidsmn.com,,newspaper,Grand Rapids Herald-Review,MN,27061,
newsmemory.com,,newspaper,Mille Lacs Messenger,MN,27095,
abcnewspapers.com,,newspaper,Fridley Life,MN,27003,
walkermn.com,,newspaper,The Pilot-Independent,MN,27021,
mnsun.com,,newspaper,Brooklyn Park Sun Post,MN,27053,
dillontribune.com,,newspaper,Dillon Tribune,MT,30001,
bighorncountynews.com,,newspaper,Big Horn County News,MT,30003,
carboncountynews.com,,newspaper,Carbon County News,MT,30009,
milescitystar.com,,newspaper,Miles City Star,MT,30017,
lewistownnews.com,,newspaper,Lewistown News-Argus,MT,30027,
bozemandailychronicle.com,,newspaper,Bozeman Daily Chronicle,MT,30031,
belgrade-news.com,,newspaper,Belgrade News,MT,30031,
rangerreview.com,,newspaper,Glendive Ranger-Review,MT,30021,
idahostatejournal.com,,newspaper,Idaho State Journal,ID,16005,
postregister.com,,newspaper,Post Register,ID,16019,
idahopress.com,,newspaper,Idaho Press,ID,16027,
messenger-index.com,,newspaper,Emmett Messenger-Index,ID,16045,
rexburgstandardjournal.com,,newspaper,The Standard-Journal,ID,16065,
tetonvalleynews.net,,newspaper,Teton Valley News,ID,16081,
newarkpostonline.com,,newspaper,Newark Post,DE,10003,
yoursun.com,,newspaper,The Daily Sun,FL,12015,
keysnews.com,,newspaper,Key West Citizen,FL,12087,
dundalkeagle.com,,newspaper,Dundalk Eagle,MD,24005,
cecildaily.com,,newspaper,Cecil Whig,MD,24015,
somdnews.com,,newspaper,Southern Maryland News,MD,24017,
myeasternshoremd.com,,newspaper,Kent County News,MD,24029,
stardem.com,,newspaper,The Star-Democrat,MD,24041,
thecarrollnews.com,,newspaper,The Carroll News,VA,51035,
hjnews.com,,newspaper,Herald Journal,UT,49005,
dailyrecordnews.com,,newspaper,Daily Record,WA,53037,
goanacortes.com,,newspaper,Anacortes American,WA,53057,
goskagit.com,,newspaper,Argus,WA,53057,
scnews.com,,newspaper,Stanwood/Camano News,WA,53061,
hngnews.com,,newspaper,Lodi Enterprise & Poynette Press,WI,55021,
leadertelegram.com,,newspaper,Leader-Telegram,WI,55035,
wdtimes.com,,newspaper,Watertown Daily Times,WI,55055,
dailyunion.com,,newspaper,Daily Jefferson County Union,WI,55055,
antigodailyjournal.com,,newspaper,Antigo Daily Journal,WI,55067,
ehextra.com,,newspaper,EagleHerald,WI,55075,
beloitdailynews.com,,newspaper,Beloit Daily News,WI,55105,
gazettextra.com,,newspaper,The Janesville Gazette - GazetteXtra,WI,55105,
laramieboomerang.com,,newspaper,Laramie Boomerang,WY,56001,
rawlinstimes.com,,newspaper,Rawlins Daily Times,WY,56007,
wyomingnews.com,,newspaper,Wyoming Tribune-Eagle,WY,56021,
rocketminer.com,,newspaper,Rocket-Miner,WY,56037,
addisonindependent.com,,newspaper,Addison County Independent,VT,50001,
brandonreporter.com,,newspaper,Brandon Reporter,VT,50001,
thereminder.com,,newspaper,The Reminder,MA,25013,
masslive.com,,newspaper,Republican,MA,25013,
mlive.com,,newspaper,Flint Journal,MI,26049,
silive.com,,newspaper,Staten Island Advance,NY,36085,
theoregonian.com,,newspaper,The Oregonian,OR,41051,
pennlive.com,,newspaper,Patriot-News,PA,42043,
lehighvalleylive.com,,newspaper,Express-Times,PA,42095,
athensnews.com,,newspaper,Athens News,OH,39009,
athensmessenger.com,,newspaper,Athens Messenger,OH,39009,
minstercommunitypost.com,,newspaper,Community Post,OH,39011,
wapakdailynews.com,,newspaper,Wapakoneta Daily News,OH,39011,
dailyfreeman.com,,newspaper,Daily Freeman,NY,36111,
theeveningleader.com,,newspaper,The Evening Leader,OH,39011,
timesleaderonline.com,,newspaper,Times-Leader,OH,39013,
southschuylkillnews.com,,newspaper,South Schuylkill News,PA,42107,
republicanherald.com,,newspaper,The Republican-Herald,PA,42107,
thereporteronline.com,,newspaper,Reporter,PA,42091,
timesherald.com,,newspaper,The Times Herald,PA,42091,
pottsmerc.com,,newspaper,Mercury,PA,42091,
standardspeaker.com,,newspaper,Hazleton Standard-Speaker,PA,42079,
citizensvoice.com,,newspaper,The Citizens' Voice,PA,42079,
wcexaminer.com,,newspaper,Wyoming County Press Examiner,PA,42131,
thetimes-tribune.com,,newspaper,Times-Tribune,PA,42069,
mcall.com,,newspaper,Morning Call,PA,42077,
delcotimes.com,,newspaper,Delaware County Daily Times,PA,42045,
delconewsnetwork.com,,newspaper,News of Delaware County,PA,42045,
mainlinemedianews.com,,newspaper,Main Line Times & Suburban Life,PA,42045,
southernchestercountyweeklies.com,,newspaper,Avon Grove Sun,PA,42029,
dailylocal.com,,newspaper,Daily Local News,PA,42029,
berksmontnews.com,,newspaper,Southern Berks News,PA,42011,
readingeagle.com,,newspaper,Reading Eagle,PA,42011,
buckslocalnews.com,,newspaper,Advance of Bucks County,PA,42017,
troyrecord.com,,newspaper,The Record,NY,36083,
saratogian.com,,newspaper,The Saratogian,NY,36091,
nydailynews.com,,newspaper,New York Daily News,NY,36047,
oneidadispatch.com,,newspaper,The Oneida Daily Dispatch,NY,36053,
trentonian.com,,newspaper,The Trentonian,NJ,34021,
heritagenews.com,,newspaper,The News-Herald,MI,26163,
theoaklandpress.com,,newspaper,Oakland Press,MI,26125,
twincities.com,,newspaper,Twin Cities Pioneer Press,MN,27123,
elmwoodpark-leaves.com,,newspaper,Elmwood Park Leaves,IL,17031,
evanstonreview.com,,newspaper,Evanston Review,IL,17031,
forestleaves.com,,newspaper,River Forest Leaves,IL,17031,
franklinpark-herald-journal.com,,newspaper,Franklin Park Herald-Journal,IL,17031,
glencoe-news.com,,newspaper,Glencoe News,IL,17031,
glenview-announcements.com,,newspaper,Glenview Announcements,IL,17031,
lincolnwoodreview.com,,newspaper,Lincolnwood Review,IL,17031,
mortongrovechampion.com,,newspaper,Morton Grove Champion,IL,17031,
nilesheraldspectator.com,,newspaper,Niles Herald-Spectator,IL,17031,
norridgeharwoodheightsnews.com,,newspaper,Norridge Harwood Heights News,IL,17031,
northbrook-star.com,,newspaper,Northbrook Star,IL,17031,
oakpark-leaves.com,,newspaper,Oak Park Leaves,IL,17031,
parkridge-heraldadvocate.com,,newspaper,Park Ridge Herald-Advocate,IL,17031,
skokie-review.com,,newspaper,Skokie Review,IL,17031,
wilmette-life.com,,newspaper,Wilmette Life,IL,17031,
winnetka-talk.com,,newspaper,Winnetka Talk,IL,17031,
thedoings-lagrange.com,,newspaper,Doings La Grange,IL,17031,
thedoings-westernsprings.com,,newspaper,Doings Western Springs,IL,17031,
chicagotribune.com,,newspaper,Chicago Tribune,IL,17031,
dailysouthtown.com,,newspaper,Daily Southtown,IL,17031,
thedoings-hinsdale.com,,newspaper,Doings Hinsdale,IL,17043,
thedoings-oakbrook.com,,newspaper,Doings Oak Brook and Elmhurst,IL,17043,
thedoings-clarendonhills.com,,newspaper,Doings Clarendon Hills,IL,17043,
thedoings-weekly.com,,newspaper,Doings Weekly Burr Ridge,IL,17043,
napersun.com,,newspaper,Naperville Sun,IL,17043,
orlandosentinel.com,,newspaper,Orlando Sentinel,FL,12095,
sun-sentinel.com,,newspaper,South Florida Sun-Sentinel,FL,12011,
eptrail.com,,newspaper,Estes Park Trail-Gazette,CO,08069,
reporterherald.com,,newspaper,Loveland Reporter-Herald,CO,08069,
southplattesentinel.com,,newspaper,South Platte Sentinel,CO,08075,
journal-advocate.com,,newspaper,Journal-Advocate,CO,08075,
fortmorgantimes.com,,newspaper,Morgan County Times,CO,08087,
julesburgadvocate.com,,newspaper,Julesburg Advocate,CO,08115,
akronnewsreporter.com,,newspaper,Akron News-Reporter,CO,08121,
greeleytribune.com,,newspaper,Greeley Tribune,CO,08123,
courant.com,,newspaper,Hartford Courant,CT,09110,
mercurynews.com,,newspaper,Mercury News,CA,06085,
santacruzsentinel.com,,newspaper,Santa Cruz Sentinel,CA,06087,
thereporter.com,,newspaper,Reporter,CA,06095,
timesheraldonline.com,,newspaper,Vallejo Times-Herald,CA,06095,
dailydemocrat.com,,newspaper,The Daily Democrat,CA,06113,
coloradohometownweekly.com,,newspaper,Colorado Hometown Weekly,CO,08013,
dailycamera.com,,newspaper,Daily Camera,CO,08013,
timescall.com,,newspaper,Longmont Times-Call,CO,08013,
broomfieldenterprise.com,,newspaper,Broomfield Enterprise,CO,08014,
denverpost.com,,newspaper,Denver Post,CO,08031,
canoncitydailyrecord.com,,newspaper,Cañon City Daily Record ,CO,08043,
ukiahdailyjournal.com,,newspaper,Ukiah Daily Journal,CA,06045,
marinij.com,,newspaper,Marin Independent Journal,CA,06041,
advocate-news.com,,newspaper,Fort Bragg Advocate-News,CA,06045,
dailybreeze.com,,newspaper,Palos Verdes Peninsula News,CA,06037,
dailynews.com,,newspaper,Los Angeles Daily News,CA,06037,
record-bee.com,,newspaper,Lake County Record-Bee,CA,06033,
presstelegram.com,,newspaper,Press-Telegram,CA,06037,
sgvtribune.com,,newspaper,San Gabriel Valley Tribune,CA,06037,
pasadenastarnews.com,,newspaper,Pasadena Star-News,CA,06037,
ocregister.com,,newspaper,Orange County Register,CA,06059,
pressenterpriseonline.com,,newspaper,Press-Enterprise,CA,06065,
dailybulletin.com,,newspaper,Inland Valley Daily Bulletin,CA,06071,
redlandsdailyfacts.com,,newspaper,Redlands Daily Facts,CA,06071,
delmartimes.net,,newspaper,Carmel Valley News,CA,06073,
lajollalight.com,,newspaper,La Jolla Light,CA,06073,
sandiegouniontribune.com,,newspaper,Poway News Chieftain,CA,06073,
ramonasentinel.com,,newspaper,Ramona Sentinel,CA,06073,
ranchosantafereview.com,,newspaper,Rancho Santa Fe Review,CA,06073,
chicoer.com,,newspaper,Chico Enterprise-Record,CA,06007,
eastbaytimes.com,,newspaper,East Bay Times,CA,06013,
times-standard.com,,newspaper,Times-Standard,CA,06023,
themorningsun.com,,newspaper,Morning Sun,MI,26073,
lowellsun.com,,newspaper,The Sun,MA,25017,
bostonherald.com,,newspaper,Boston Herald,MA,25025,
nashobavalleyvoice.com,,newspaper,Nashoba Valley Voice,MA,25027,
sentinelandenterprise.com,,newspaper,Sentinel and Enterprise,MA,25027,
baltimoresun.com,,newspaper,Towson Times,MD,24005,
aurorabeaconnews.com,,newspaper,The Beacon-News,IL,17089,
deerfield-review.com,,newspaper,Deerfield Review,IL,17097,
highlandpark-news.com,,newspaper,Highland Park News,IL,17097,
lake-forester.com,,newspaper,Lake Forester,IL,17097,
lakezurich-courier.com,,newspaper,Lake Zurich Courier,IL,17097,
libertyville-review.com,,newspaper,Libertyville Review,IL,17097,
